DAY,RETRACEMENT,WORKS
Monday,-0.74,FALSE
Monday,-0.82,FALSE
Monday,-0.48,FALSE
Monday,-0.93,FALSE
Monday,-0.46,FALSE
Monday,-0.6,FALSE
Monday,-0.33,FALSE
Monday,-0.04,FALSE
Monday,-0.05,FALSE
Monday,-0.03,FALSE
Monday,-0.32,FALSE
Monday,-0.34,FALSE
Monday,-0.21,FALSE
Monday,-0.16,FALSE
Monday,-1.1,FALSE
Tuesday,-1,FALSE
Tuesday,-0.87,FALSE
Tuesday,-0.14,FALSE
Tuesday,-0.26,FALSE
Tuesday,-0.69,FALSE
Tuesday,-1.13,FALSE
Tuesday,-0.25,FALSE
Tuesday,-0.64,FALSE
Tuesday,-0.24,FALSE
Tuesday,-0.09,FALSE
Tuesday,-0.77,FALSE
Tuesday,0.04,FALSE
Tuesday,0.16,FALSE
Wednesday,-1.18,FALSE
Wednesday,-0.83,FALSE
Wednesday,-0.45,FALSE
Wednesday,0.57,FALSE
Wednesday,0,FALSE
Wednesday,-1.32,FALSE
Wednesday,0.38,FALSE
Wednesday,-1.4,FALSE
Wednesday,-0.33,FALSE
Wednesday,-0.45,FALSE
Wednesday,-0.75,FALSE
Wednesday,-0.69,FALSE
Wednesday,-0.67,FALSE
Wednesday,-1.2,FALSE
Wednesday,-0.8,FALSE
Wednesday,-0.62,FALSE
Wednesday,-0.81,FALSE
Wednesday,-0.11,FALSE
Wednesday,-1.37,FALSE
Wednesday,-0.47,FALSE
Wednesday,-0.59,FALSE
Wednesday,-0.11,FALSE
Wednesday,-1.08,FALSE
Wednesday,-0.98,FALSE
Wednesday,-0.06,FALSE
Wednesday,-0.13,FALSE
Wednesday,-0.38,FALSE
Wednesday,0.28,FALSE
Thursday,-0.96,FALSE
Thursday,-0.59,FALSE
Thursday,-0.84,FALSE
Thursday,-0.27,FALSE
Thursday,-0.1,FALSE
Thursday,-0.15,FALSE
Thursday,-0.52,FALSE
Thursday,-0.1,FALSE
Thursday,-1.55,FALSE
Thursday,-0.07,FALSE
Thursday,-0.82,FALSE
Thursday,-0.89,FALSE
Friday,-0.55,FALSE
Friday,-0.52,FALSE
Friday,-0.66,FALSE
Friday,-0.95,FALSE
Friday,-0.33,FALSE
Friday,-0.61,FALSE
Friday,-0.38,FALSE
Friday,-0.34,FALSE
Friday,-0.58,FALSE
Friday,-0.43,FALSE
Friday,-1.04,FALSE
Friday,-0.15,FALSE
Friday,-0.03,FALSE
Monday,0.14,TRUE
Monday,0.4,TRUE
Monday,0.17,TRUE
Monday,-0.13,TRUE
Monday,0.31,TRUE
Monday,-0.33,TRUE
Monday,0.13,TRUE
Monday,0.21,TRUE
Monday,0.05,TRUE
Monday,-0.02,TRUE
Monday,0.39,TRUE
Monday,0.34,TRUE
Tuesday,0.08,TRUE
Tuesday,0.01,TRUE
Tuesday,0.1,TRUE
Tuesday,-0.16,TRUE
Tuesday,-0.09,TRUE
Tuesday,0.11,TRUE
Tuesday,0.33,TRUE
Tuesday,0.2,TRUE
Tuesday,0.13,TRUE
Tuesday,0.41,TRUE
Tuesday,0.16,TRUE
Wednesday,0.02,TRUE
Wednesday,0.05,TRUE
Wednesday,0.43,TRUE
Wednesday,0.1,TRUE
Wednesday,0.1,TRUE
Wednesday,0.25,TRUE
Wednesday,0,TRUE
Wednesday,0.23,TRUE
Wednesday,0.17,TRUE
Wednesday,-0.04,TRUE
Wednesday,0.04,TRUE
Wednesday,-0.14,TRUE
Wednesday,0.54,TRUE
Wednesday,0.19,TRUE
Wednesday,0.59,TRUE
Wednesday,0.08,TRUE
Thursday,0.04,TRUE
Thursday,0.45,TRUE
Thursday,-0.02,TRUE
Thursday,0.16,TRUE
Thursday,0.14,TRUE
Thursday,-0.07,TRUE
Thursday,0.21,TRUE
Thursday,0.12,TRUE
Thursday,0.08,TRUE
Thursday,-0.04,TRUE
Thursday,0.52,TRUE
Thursday,0.19,TRUE
Thursday,0.41,TRUE
Thursday,0.06,TRUE
Thursday,0.13,TRUE
Thursday,0.15,TRUE
Thursday,0.08,TRUE
Thursday,0.08,TRUE
Thursday,-0.17,TRUE
Thursday,-0.02,TRUE
Friday,0.35,TRUE
Friday,0.33,TRUE
Friday,0.25,TRUE
Friday,0.26,TRUE
Friday,0.01,TRUE
Friday,0.02,TRUE
Friday,0.06,TRUE
Friday,0.17,TRUE
Friday,0.13,TRUE
Friday,0.24,TRUE