analysis_start_tuesday,tuesday_idr_midpoint,high_20_level,high_50_level,high_80_level,low_20_level,low_50_level,low_80_level
2023-04-04,195.83,198.87,201.17,206.21,175.39,183.45,189.28
2023-04-11,187.05,190.44,191.58,194.01,174.23,177.96,182.39
2023-04-18,185.58,188.46,190.64,195.41,166.21,173.85,179.37
2023-04-25,160.67,164.60,169.53,177.73,149.96,155.05,158.22
2023-05-02,163.94,166.48,168.41,172.63,146.83,153.57,158.46
2023-05-09,168.67,183.80,193.43,203.07,165.22,165.73,166.23
2023-05-16,166.15,172.52,176.22,184.09,155.84,161.19,162.84
2023-05-23,189.81,192.76,194.99,199.87,170.00,177.81,183.47
2023-05-30,201.04,204.61,206.54,215.03,187.21,193.29,195.31
2023-06-06,214.21,222.42,227.19,237.33,200.92,207.81,209.94
2023-06-13,253.68,263.40,269.05,281.06,237.94,246.10,248.62
2023-06-20,264.37,274.50,280.38,292.90,247.96,256.47,259.10
2023-06-27,244.85,254.24,259.69,271.29,229.66,237.54,239.98
2023-07-11,269.08,279.40,285.39,298.13,252.39,261.05,263.73
2023-07-18,287.71,298.74,305.14,318.76,269.85,279.11,281.98
2023-07-25,269.79,273.97,277.14,284.08,241.62,252.73,260.76
2023-08-01,263.11,267.19,270.28,277.05,235.65,246.47,254.31
2023-08-08,247.78,257.29,262.80,274.53,232.41,240.38,242.85
2023-08-15,237.28,240.96,243.75,249.86,212.52,222.28,229.35
2023-08-22,237.28,241.48,243.76,253.78,220.95,228.12,230.51
2023-08-29,244.50,253.88,259.32,270.90,229.33,237.20,239.64
2023-09-05,250.94,260.57,266.15,278.03,235.38,243.45,245.95
2023-09-12,273.48,278.44,280.11,283.67,254.75,260.20,266.67
2023-09-19,264.87,269.57,272.11,283.30,246.65,254.65,257.32
2023-09-26,245.19,254.77,254.77,254.77,234.58,234.58,234.58
2023-10-03,248.38,252.24,255.15,261.54,222.46,232.68,240.08
2023-10-10,262.94,269.38,277.44,290.86,245.43,253.76,258.93
2023-10-17,249.45,259.02,264.57,276.38,233.98,242.00,244.49
2023-10-24,219.94,223.35,225.94,231.60,196.99,206.04,212.59
2023-10-31,197.81,205.40,209.80,219.17,185.54,191.90,193.88
2023-11-07,217.13,225.45,230.29,240.57,203.66,210.64,212.81
2023-11-14,233.44,242.39,247.58,258.63,218.95,226.46,228.79
2023-11-21,239.81,244.07,246.37,256.50,223.31,230.56,232.97
2023-11-28,236.72,245.80,251.06,262.27,222.03,229.65,232.01
2023-12-05,239.65,243.89,246.19,256.32,223.16,230.40,232.81
2023-12-12,235.62,239.80,242.06,252.01,219.41,226.53,228.90
2023-12-19,255.80,260.34,262.79,273.59,238.20,245.93,248.50
2023-12-26,254.93,264.70,270.37,282.44,239.11,247.31,249.85
2024-01-02,248.05,252.45,254.83,265.31,230.98,238.48,240.98
2024-01-09,235.16,239.33,241.59,251.52,218.98,226.09,228.46
2024-01-16,217.87,221.73,223.82,233.03,202.88,209.47,211.66
2024-01-23,213.09,216.87,218.92,227.92,198.43,204.87,207.02
2024-01-30,193.56,196.57,198.84,203.82,173.36,181.33,187.09
2024-02-06,183.03,190.05,194.12,202.79,171.67,177.56,179.39
2024-02-13,185.69,188.99,190.77,198.61,172.92,178.53,180.40
2024-02-20,194.86,198.31,200.18,208.42,181.45,187.34,189.30
2024-02-27,203.53,206.68,209.08,214.31,182.29,190.66,196.72
2024-03-05,181.40,184.62,186.36,194.02,168.92,174.41,176.23
2024-03-12,173.94,180.60,184.47,192.71,163.14,168.74,170.47
2024-03-19,169.84,176.35,180.13,188.17,159.30,164.76,166.45
2024-03-26,180.98,184.19,185.92,193.57,168.53,174.00,175.82
2024-04-02,165.19,168.11,169.70,176.68,153.82,158.81,160.47
2024-04-09,175.67,178.78,180.47,187.89,163.58,168.89,170.66
2024-04-16,155.77,161.75,165.21,172.59,146.11,151.12,152.67
2024-04-23,143.24,148.73,151.91,158.70,134.35,138.96,140.38
2024-04-30,188.44,191.37,193.58,198.43,168.78,176.53,182.14
2024-05-07,179.39,182.17,184.28,188.89,160.67,168.05,173.39
2024-05-14,176.00,182.75,186.66,195.00,165.08,170.74,172.50
2024-05-21,178.50,185.34,189.31,197.76,167.42,173.16,174.94
2024-05-28,174.83,177.93,179.61,186.99,162.80,168.09,169.84
2024-06-04,175.34,178.45,180.14,187.54,163.28,168.58,170.34
2024-06-11,169.86,172.87,174.50,181.68,158.17,163.31,165.02
2024-06-18,184.29,188.39,189.00,191.84,168.67,175.89,178.15
2024-06-25,184.59,189.11,194.77,204.19,172.30,178.14,181.78
2024-07-02,224.39,232.99,237.99,248.61,210.47,217.69,219.92
2024-07-09,255.78,265.58,271.27,283.39,239.91,248.13,250.68
2024-07-16,250.75,255.20,257.61,268.20,233.50,241.08,243.60
2024-07-23,251.56,255.46,258.42,264.89,225.31,235.66,243.15
2024-07-30,229.72,233.28,235.98,241.89,205.74,215.19,222.04
2024-08-06,196.11,203.62,207.99,217.27,183.94,190.25,192.20
2024-08-13,201.70,209.44,213.93,223.48,189.19,195.68,197.69
2024-08-20,224.50,227.97,230.61,236.39,201.06,210.30,216.99
2024-08-27,211.45,215.20,217.23,226.17,196.91,203.30,205.42
2024-09-03,216.05,219.40,221.94,227.50,193.50,202.39,208.83
2024-09-10,223.09,227.05,229.19,238.61,207.75,214.49,216.73
2024-09-17,232.22,235.82,238.55,244.53,207.99,217.54,224.46
2024-09-24,253.44,258.04,259.58,262.88,236.08,241.13,247.13
2024-10-01,255.83,260.37,262.82,273.63,238.23,245.97,248.54
2024-10-08,243.19,247.50,249.83,260.10,226.45,233.80,236.25
2024-10-15,221.45,225.47,226.82,229.70,206.29,210.70,215.94
2024-10-22,216.98,236.45,248.84,261.23,212.54,213.19,213.84
2024-10-29,261.33,265.97,268.48,279.52,243.35,251.25,253.88
2024-11-05,251.22,260.85,266.44,278.34,235.63,243.71,246.22
2024-11-12,339.84,346.01,348.08,352.50,316.56,323.33,331.37
2024-11-19,339.12,347.42,357.82,375.13,316.53,327.28,333.95
2024-11-26,343.28,349.51,351.61,356.07,319.77,326.61,334.73
2024-12-03,352.50,361.13,371.94,389.93,329.02,340.19,347.13
2024-12-10,402.65,409.79,413.65,430.66,374.95,387.12,391.17
2024-12-17,475.34,482.70,488.29,500.52,425.72,445.28,459.44
2024-12-24,446.88,456.81,458.30,465.18,409.01,426.50,431.99
2024-12-31,419.54,428.87,430.27,436.72,383.99,400.41,405.57
2025-01-07,404.91,412.26,414.73,420.00,377.18,385.25,394.83
2025-01-14,417.34,423.80,428.71,439.45,373.77,390.95,403.38
2025-01-21,412.49,422.59,435.24,456.29,385.02,398.09,406.21
2025-01-28,389.92,404.87,413.55,432.01,365.73,378.27,382.16
2025-02-04,385.83,395.28,407.11,426.80,360.13,372.36,379.95
2025-02-11,345.02,350.37,354.42,363.30,309.01,323.20,333.48
2025-02-18,355.67,362.13,364.30,368.92,331.31,338.40,346.81
2025-02-25,315.60,321.19,324.22,337.55,293.88,303.42,306.59
2025-03-04,268.69,278.99,284.97,297.70,252.02,260.66,263.34
2025-03-11,229.12,237.90,243.00,253.85,214.90,222.27,224.55
2025-03-18,225.06,233.69,238.70,249.36,211.10,218.34,220.58
2025-03-25,274.84,285.38,291.49,304.51,257.79,266.63,269.37
2025-04-01,263.81,270.27,278.36,291.83,246.24,254.60,259.79
2025-04-08,245.12,248.92,251.80,258.11,219.54,229.63,236.93
2025-04-15,253.64,257.57,260.55,267.08,227.17,237.60,245.16
2025-04-22,234.36,243.34,248.55,259.65,219.81,227.35,229.69
2025-04-29,283.89,294.78,301.10,314.54,266.28,275.41,278.24
2025-05-06,274.89,285.43,291.55,304.57,257.84,266.68,269.42
2025-05-13,321.34,333.66,340.81,356.03,301.40,311.74,314.94
2025-05-20,348.84,355.02,358.37,373.10,324.83,335.38,338.89
2025-05-27,354.73,368.33,376.22,393.02,332.72,344.13,347.67
2025-06-03,346.86,353.01,356.34,370.99,322.99,333.48,336.97
2025-06-10,314.61,326.67,333.67,348.57,295.09,305.21,308.34
2025-06-17,323.79,328.81,332.61,340.94,289.99,303.32,312.96
2025-06-24,345.73,352.00,354.11,358.61,322.05,328.94,337.12
2025-07-01,299.63,304.94,307.82,320.47,279.01,288.07,291.08
2025-07-08,297.52,302.79,305.65,318.22,277.05,286.04,289.03
2025-07-15,318.52,323.46,327.20,335.40,285.28,298.38,307.87
